lemma,wrong_sense_key,corrected_sense_key,reason
dliged,law%1:09:01::,law%1:09:00::,"duplicate of row 110, already accepted under this sense"
gnúis,specie%1:21:00::,species%1:09:00::,"translation typo (""specie""->""species"")"
cárachtar,character%1:09:00::,character%1:10:00::,"means the written symbol, not a characteristic property"
comṡuidigud,composition%1:04:02::,composition%1:07:02::,"the spatial arrangement of parts sense fits better than ""act of composing"""
tinfed,aspiration%1:07:00::,aspiration%1:10:00::,"phonetic articulation/breath sense, not ""will to succeed"""
lín,number%1:23:00::,number%1:07:00::,"""total/full quantity"" attribute sense, not the abstract concept"
comṡuidigthe,compound%2:30:00::,compound%3:00:00::,"adjective ""composed of more than one part"", not the verb"
timortae,short%3:00:01::,short%3:00:04::,"vowel-length/phonetic sense, not spatial length"
airdíxa,long%3:00:01::,long%3:00:04::,"vowel-length/phonetic sense, not spatial extension"
comaisndís,apposition%1:22:00::,apposition%1:24:00::,"grammatical apposition, not the biology sense"
dogní,make%2:30:00::,make%2:36:00::,"""make/cause to be or become"" (annotator floated several verb senses; lowest-confidence pick)"
fír,true%5:00:02:faithful:00,true%3:00:00::,"""not false"", not ""faithful/devoted"""
is,be%2:42:00::,be%2:42:03::,"copula sense, not ""have an existence"""
aimser,time%1:03:00::,time%1:28:00::,"""an indefinite period"", not the entirety of all time"
cucann,provision%1:10:00::,provision%1:21:00::,"""store/supply of food"", not ""stipulated condition"""
tuisel,case%1:11:00::,case%1:10:00::,"grammatical case sense, not ""an occurrence"""
aittrebthach,possessive%3:01:00::,possessive%3:01:00::,"definition is a reasonable fit after all - keep the original sense"
óg,integral%1:09:00::,integral%5:00:00:whole:00,"""whole/entire/complete"", not mathematical integration"
gním,active%3:00:03::,active%3:00:09::,"grammatical ""actor"" sense - keeps the adjective POS, unlike the noun ""active voice"" sense"
césad,passion%1:16:00::,passion%1:26:02::,"the capitalized ""Passion"" synset (""suffering of Jesus""), not ""irrational motive"""
césad,passion%1:12:02::,passion%1:26:02::,"same Passion synset, not ""sexual desire"""
césad,passive%3:00:01::,passive%3:00:01::,"definition is a reasonable fit after all - keep the original sense"
césad,passive%5:00:00:nonviolent:00,passive%3:00:01::,"merge into the other césad/passive sense rather than the noun ""passive voice"" sense"
imḟognam,construction%1:04:00::,construction%1:10:01::,"grammatical construction, not ""act of constructing"""
cétnaide,primitive%1:18:00::,primitive%1:10:00::,"linguistic ""root/primitive word"" sense (lowest-confidence pick)"
díṡruthigthe,derivative%1:09:00::,derivative%1:10:00::,"linguistic ""derived word"" sense, not mathematical derivative"
liter,letter%1:10:00::,letter%1:10:01::,"""letter of the alphabet"" sense, not ""written message"""
